 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Result
80,49095,3,4,444,872,438,0,148.0,251.1652842,860,0,218.0,428.0093457,26805.17364,142.5807109,8182.5,11678.28698,23345,4,25311,12655.5,15097.43689,23331,1980,25976,8658.666667,14618.65392,25537,4,0,0,0,0,72,92,61.10601894,81.47469192,0,860,164.5,319.613606,102152.8571,0,0,0,1,0,0,0,0,1,188.0,148.0,218.0,72,0,0,0,0,0,0,3,444,4,872,8192,31,2,20,0,0,0,0,0,0,0,0,BENIGN
53,23342,1,1,53,117,53,53,53.0,0.0,117,117,117.0,0.0,7283.009168,85.6824608,23342.0,0.0,23342,23342,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,42.8412304,42.8412304,53,117,74.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,1,111.5,53.0,117.0,20,0,0,0,0,0,0,1,53,1,117,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,55639,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,209079.9619,161.7570409,6954.875,19340.34896,54819,14,491,245.5,279.3071786,443,48,55556,11111.2,24434.10024,54819,14,0,0,0,0,72,132,53.91901364,107.8380273,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDOS
80,754236,2,5,20,11607,20,0,10.0,14.14213562,7215,0,2321.4,3327.769794,15415.59936,9.280914727,125706.0,307448.7924,753283,4,754,754.0,0.0,754,754,754180,188545.0,376492.1431,753283,4,0,0,0,0,52,112,2.651689922,6.629224805,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,2,1661.0,10.0,2321.4,52,0,0,0,0,0,0,2,20,5,11607,8192,229,1,20,0,0,0,0,0,0,0,0,DDOS
443,5056571,9,5,411,3272,218,0,45.66666667,83.6361166,1566,0,654.4,786.515607,728.3591984,2.768674661,388967.0,1374416.96,4963155,1,5056571,632071.375,1750116.353,4963155,1,40136,10034.0,9539.046109,19998,217,0,0,0,0,296,168,1.779862282,0.988812379,0,1566,245.5333333,520.0311621,270432.4095,0,0,0,1,0,0,0,0,0,263.0714286,45.66666667,654.4,296,0,0,0,0,0,0,9,411,5,3272,29200,243,3,32,0,0,0,0,0,0,0,0,BENIGN
53,158,2,2,78,134,39,39,39.0,0.0,67,67,67.0,0.0,1341772.152,25316.4557,52.66666667,89.48929172,156,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12658.22785,12658.22785,39,67,50.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,62.75,39.0,67.0,64,0,0,0,0,0,0,2,78,2,134,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,70333547,9,4,62,11601,20,0,6.888888889,5.30199124,8760,0,2900.25,4128.319301,165.8241408,0.184833562,5861128.917,19600000.0,68100000,0,70200000,8774108.0,24000000.0,68100000,0,165500,55166.66667,74783.79034,140352,318,0,0,0,0,192,92,0.127961697,0.056871865,0,8760,833.5,2402.71381,5773033.654,0,0,0,0,1,0,0,0,0,897.6153846,6.888888889,2900.25,192,0,0,0,0,0,0,9,62,4,11601,256,229,7,20,2059082,0,2059082,2059082,68100000,0,68100000,68100000,DDOS
80,1536639,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,7570.418296,5.856938422,192079.875,543007.5803,1535955,3,546,273.0,381.8376618,543,3,1536628,307325.6,686824.7611,1535955,3,0,0,0,0,72,132,1.952312807,3.904625615,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDOS
80,4027908,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.448035059,1.241339177,1006977.0,2011280.886,4023897,0,4027908,1006977.0,2011280.886,4023897,0,0,0.0,0.0,0,0,0,0,0,0,100,0,1.241339177,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDOS
53,60936,1,1,58,139,58,58,58.0,0.0,139,139,139.0,0.0,3232.900092,32.82132073,60936.0,0.0,60936,60936,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.41066036,16.41066036,58,139,85.0,46.7653718,2187.0,0,0,0,0,0,0,0,0,1,127.5,58.0,139.0,20,0,0,0,0,0,0,1,58,1,139,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
